
Name of the University
"COER University, Roorkee"
Cooch Behar Panchanan Barma University
Cotton University
CT University
D Y Patil International University
D. Y. Patil
D. Y. Patil  Agriculture and Technical University
D. Y. Patil University
D.A.V University
D.Y Patil Educational Society
Dakshin Dinajpur University
Damodaram Sanjivayya National Law University
Darjeeling Hills University
Darshan University
Datta Meghe Institute of Higher Education and Research
Davangere University
Dayalbagh Educational Institute
Dayananda Sagar University
Deccan College Postgraduate & Research Institute
Deen Bandhu Chhotu Ram University of Sciences & Technology
Deen Dayal Upadhyay Gorakhpur University
Defence Institute of Advanced Technology
Delhi Pharmaceutical Sciences & Research University
Delhi Skill and Entrepreneurship University
Delhi Sports University
Delhi Teachers University
Delhi Technological University
DES Pune University
Desh Bhagat University
Dev Bhoomi Uttarakhand University
Dev Sanskriti Vishwavidyalaya
Dev Sanskriti Vishwavidyalaya
Devi Ahilya Vishwavidyalaya
Dhanalakshmi Srinivasan University
Dhanamanjuri University
Dharmashastra National Law University
Dharmsinh Desai University
Dhirubhai Ambani Institute of Information and Communication Te
Diamond Harbour Women's University
Dibrugarh University
DIT University
Doon University
Dr C V Raman University
Dr C. V. Raman University
Dr K N Modi University
Dr Y. S. R. Architecture & Fine Arts University
Dr. A.P.J Abdul Kalam University
Dr. A.P.J. Abdul Kalam Technical University
Dr. Abdul Haq Urdu University
Dr. B. R. Ambedkar University
Dr. B. R. Ambedkar University of Social Sciences
Dr. B.R. Ambedkar National Law University
Dr. B.R. Ambedkar University
Dr. B.R. Ambedkar University
Dr. B.R.Ambedkar Open University
Dr. Babasaheb Ambedkar Marathwada University
Dr. Babasaheb Ambedkar Open University
Dr. Babasaheb AmbedkarTechnological University
Dr. Bhimrao Ambedkar Law University
Dr. C.V. Raman University
Dr. D.Y. Patil Vidyapeeth
Dr. Harisingh Gour Vishwavidyalaya
Dr. Homi Bhabha State University
Dr. M.G.R. Educational and Research Institute
Dr. N.T.R. University of Health Sciences
Dr. P. A. Inamdar University
Dr. Preeti Global University
Dr. Punjabrao Deshmukh Krishi Vidyapeeth
Dr. Rajendra Prasad Central Agricultural University
Dr. Ram Manohar Lohia Awadh University
Dr. Ram Manohar Lohia Institute of Medical Sciences
Dr. Ram Manohar Lohiya National Law University
Dr. Shakuntala Misra National Rehabilitation University
Dr. Shyama Prasad Mukherjee University
Dr. Subhash University
Dr. Vishwanath Karad MIT World Peace University
Dr. Y.S.Parmar University of Horticulture & Forestry
Dr. Y.S.R. Horticultural University
Dravidian University
DRIEMS University
Drs. Kiran & Pallavi Patel Global University (KPGU)
Durga Soren University
Eklavya University
English & Foreign Languages University
Era University
Eternal University
F.S. University
Fakir Mohan University
Flame University
Forest Research Institute
G L A University
G. D. Goenka University
G. M. University
G.B.Pant University of Agriculture & Technology
G.H Raisoni University
G.H.Raisoni University
G.L.S. University
Galgotias University
Gandhi Institute of Engineering & Technology University.
Gandhi Institute of Technology and Management (GITAM)
Gandhinagar University
Gangadhar Meher University
Ganpat University
Garden City University
Gati Shakti Vishwavidyalaya
Gauhati University
Gautam Buddha University
Geeta University
Geetanjali University
Girijananda Chowdhury University
GNA University
Goa University
Gokhale Institute of Politics & Economics
Gokul Global University
Gondwana University
Gopal Narayan Singh University
Govind Guru Tribal University
Graphic Era
Graphic Era Hill University
GSFC University
Gujarat Ayurveda University
Gujarat Biotechnology University
Gujarat Maritime University
Gujarat National Law University
Gujarat Natural Farming and Organic Agricultural University
Gujarat Technological University
Gujarat University
Gujarat University of Transplantation Sciences
Gujarat Vidyapith
Gulbarga University
Guru Angad Dev Veterinary & Animal Sciences University
Guru Ghasidas Vishwavidyalaya
Guru Gobind Singh Indraprastha Vishwavidyalaya
Guru Jambeshwar University of Science and Technology
Guru Kashi University
Guru Nanak Dev University
Guru Ravidas Ayurved University
Gurugram University
Gurukul Kangri Vidyapeeth
Gyanmanjari Innovative University
Gyanodaya University
Gyanveer University
Harcourt Butler Technical University
Harichand Guruchand University
Haridev Joshi University of Journalism and Mass Communication
Haridwar University
Hassan University
Haveri University
Hemchand Yadav Vishwavidyalaya(Earlier known as Durg Vishwavi
Hemchandracharya North Gujarat University
Hemvati Nandan Bahuguna Garhwal University
Hemvati Nandan Bahuguna Medical Education University
Hidayatullah National Law University
Himachal Pradesh National Law University
Himachal Pradesh Technical University
Himachal Pradesh University
Himalayan University
Himalayiya University
Himgiri Zee University
Hindi University
Hindustan Institute of Technology  and Science (HITS)
"Homi Bhabha National Institute, Regd. Office"
Homoeopathy University
Hyderabad (SIND) National Collegiate University
I.E.C. (India Education Centre) University
I.E.S. University
I.K. Gujaral Punjab Technical University
ICFAI Foundation for Higher Education
ICFAI University
ICFAI University
ICFAI University
ICFAI University
IFTM University
IIHMR University
IILM University
IILM University
IIMT University
IIS
IMS Unison University
Indain Institute of Foreigen Trade
India International University of Legal Education and Research
Indian Agricultural Research Institute
Indian Association for the Cultivation of Science (IACS)
Indian Institute of Forest Management (IIFM)
Indian Institute of Heritage
Indian Institute of Mass Communication (IIMC)
Indian Institute of Public Health
Indian Institute of Science
Indian Institute of Space Science and Technology
Indian Institute of Teacher Education
Indian Law Institute
Indian Maritime University
Indian Veterinary Research Institute
Indira Gandhi Delhi Technical University for Women
Indira Gandhi Institute of Development Research
Indira Gandhi Krishi Vishwavidyalaya
Indira Gandhi National Open University
Indira Gandhi Technological and Medical Science University
Indira Gandhi University
Indira Kala Sangeet Vishwavidyalaya
Indraprastha Institute of Information Technology
Indrashil University
Indus International Uniersity
Indus University
Institute of Advanced Research
Institute of Advanced Studies in Education
Institute of Chemical Technology
Institute of Infrastructure Technology Research and Management
Institute of Liver and Biliary Sciences(ILBS)
Integral University
International Institute for Population Sciences
International Institute of Information Technology
International Institute of Information Technology
International Institute of Information Technology
International Institute of Information Technology (IIIT)
"International Sports University, Maharashtra"
Invertis University
ISBM University
Islamic University of Sciences & Technology University
ITM (SLS) Baroda University
ITM Skills University
ITM University
ITM University
ITM Vocational University
"J. C. Bose University of Science & Technology, YMCA"
J. N. C. T professional University
J.E.C.R.C  University
J.G. University
J.S. University
Jadavpur University
Jagadgura Rambhadracharya Divyanga University
Jagadguru Ramanandacharya Sanskrit University
Jagan Nath University
Jagannath University
Jagat Guru Nanak Dev Punjab State Open University
Jagran Lakecity University
Jai Minesh Adivasi University
Jai Narain Vyas University
Jai Prakash University
Jain
Jain Vishva Bharati Institute
Jaipur National University
Jamia Hamdard
Jamia Millia Islamia
Jammu University
Jamshedpur Women's University
Jananayak Chandrashekhar University
Janardan Rai Nagar Rajasthan Vidyapeeth
Jawahar Lal Nehru Centre for Advanced Scientific Research
Jawaharlal Nehru Architecture and Fine Arts University
Jawaharlal Nehru Krishi Vishwavidyalaya
Jawaharlal Nehru Technological University
Jawaharlal Nehru Technological University
Jawaharlal Nehru Technological University (Anantapur)
Jawaharlal Nehru Technological University (Kainada)
Jawaharlal Nehru University
Jayoti Vidyapeet Women's University
Jaypee Institute of Information Technology
Jaypee University
Jaypee University of Engineering & Technology
Jaypee University of Information Technology
Jeppiaar University
Jharkhand Rai University
Jharkhand Raksha Shakti University
Jharkhand State Open University
Jharkhand University of Technology
JIS University
Jiwaji University
JK Lakshmipat University
Jodhpur National University
JSPM University
JSS Academy of Higher Education & Research
JSS Science & Technology University
Junagarh Agricultural University
K K University
K. K. Modi University
K. N. University
K.L.E. Academy of Higher Education and Research
K.M. (Krishna Mohan) University
K.R. Mangalam University
Kadi  Sarva Vishwavidyalaya
Kakatiya University
Kalahandi University
Kalasalingam Academy of Research and Education
Kalinga Institute of Industrial Technology
Kalinga Institute of Social Sciences
Kalinga University
Kaloji Narayana Rao University of Health Sciences
Kalyani University
Kamdhenu University
Kameshwar Singh Darbhanga Sanskrit Vishwavidyalaya
Kannada University
Kannur University
Kanyashree University
Karmaveer Bhaurao Patil University
Karnataka  State Law University
Karnataka  State Open University
Karnataka  University
Karnataka Folklore University
Karnataka Janapada Vishwavidyalaya
Karnataka Samskrit University
"Karnataka State Akkamahadevi Women University (Formerly ""Karn"
Karnataka State Rural Development and Panchayat Raj University
"Karnataka Veterinary, Animal & Fisheries Science University"
Karnavati University
Karpagam Academy of Higher Education
Karunya Institute of Technology and Sciences
Kashmir University
Kavayitri Bahinabai Chadhari North Maharashtra University
Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya
Kazi Nazrul University
Keladi Shivappa Nayaka University of Agriculture and Horticultural
Kerala Agricultural Unviersity
Kerala Kalamandalam
Kerala University
Kerala University of Digital Sciences Innovation and Technology
Kerala University of Fisheries & Ocean Studies
Kerala University of Health Sciences
Kerala Veterinary & Animal Sciences University
Khaja Bandanawaz University
Khallikote University
Khangchendzonga State University (Formerly Sikkim State Univers
Khongnangthaba University
Khwaja Moinuddin Chishti Language University
King Georges Medical University
Kishkinda University
KLE Technological University
Kodagu University
Kolhan University
Koneru Lakshmaiah Education Foundation
Konkan Krishi Vidyapeeth
Koppal University
Krantiguru Shyamji Krishna Verma Kachchh University
KREA University
Krishna Kanta Handiqui State Open University
Krishna University
Krishna Vishwa Vidyapeeth
Krishnaguru Adhyatmik Visvavidyalaya
KSGH Music and Performing Arts University
Kumar Bhaskar Varma Sanskrit & Ancient Studies University
Kumaun University
Kurukshetra University
Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya
Kuvempu University
Lakshmibai National Institute of Physical Education
Lakulish Yoga University
Lala Lajpat Rai University of Veterinary & Animal Sciences
Lalit Narayan Mithila University
Lamrin Tech Skills University
Lingaya's Vidyapeeth
LNCT University
LNCT Vidhyapeeth University
Lok Jagruti Kendra University
Lokbharti University for Rural Innovation
Lords University
Lovely Professional University
M.B.M. University
M.P.Bhoj (open) University
M.S. Ramaiah University of Applied Sciences
M.V.N. University
Maa Shakumbhari University
Madan Mohan Malaviya University of Technology
Madhabdev University
Madhav Institute of Technology and Science
Madhav University
Madhusudan Law University
Madhya Pradesh Medical Science University
Madhyanchal Professional University
Madras University
Madurai Kamraj University
Magadh University
Maganbhai Adenwala Mahagujarat University
Mahakaushal University
Mahapurusha Srimanta Sankaradeva Viswavidyalaya
Maharahtra University of Health Sciences
Maharaj Vinayak Global University
Maharaja Agrasen Himalayan Garhwal University
Maharaja Agrasen University
Maharaja Bir Bikram University
Maharaja Chhatrasal Bundelkhand Vishwavidyalaya
Maharaja Ganga Singh University
Maharaja Krishnakumarsinji Bhavnagar University
Maharaja Ranjit Singh Punjab Technical University
Maharaja Sayajirao University of Baroda
Maharaja Sriram Chandra Bhanja Deo University(Earlier North Ori
Maharaja Suhel Dev State University
Maharaja Surajmal Brij University
Maharana Partap Horticultural University
Maharana Pratap University of Agriculture & Technology
Maharani Cluster University
Maharashtra Animal & Fishery Sciences University
Maharashtra Institute of Technology University of Meghalaya(For
"Maharashtra National Law University, Aurangabad"
"Maharashtra National Law University, Mumbai"
"Maharashtra National Law University, Nagpur"
Maharashtra State Skills University
"Maharishi Arvind University, Jaipur"
Maharishi Balmiki Sanskrit University
Maharishi Mahesh Yogi Vedic Vishwavidyalaya
Maharishi Markandeshwar
Maharishi Markandeshwar University
Maharishi Markandeshwar University
Maharishi University of Information Technology
Maharishi University of Management and Technology
Maharshi Dayanand Saraswati University
Maharshi Dayanand University
Maharshi Panini Sanskrit Evam Vedic Vishwavidyalaya
Mahatam Gandhi Kashi Vidyapeeth
Mahatama Gandhi University
Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya
Mahatma Gandhi Central University
Mahatma Gandhi Chitrakoot Gramodaya Vishwavidyalaya
Mahatma Gandhi Udyanikee and Vanikee Vishwavidyalaya
Mahatma Gandhi University
Mahatma Gandhi University
Mahatma Gandhi University of Medical Sciences & Technology
Mahatma Gandhi Unversity
Mahatma Jyoti Rao Phoole University
Mahatma Jyotiba Phule Rohilkhand University
Mahatma Phule Krishi Vidyapeeth
Mahaveer University
Mahayogi Gorakhnath University Gorakhpur
Mahindra University
Major S. D. Singh University
Majuli University of Culture
Makhanlal Chaturvedi National University of Journalism & Commu
Malla Reddy University
Malwanchal University
Manav Bharti University
Manav Rachna International Institute of Research and Studies
Manav Rachna University
Mandsaur University
Mandya University
Mangalayatan University
Mangalayatan University
Mangalore University
Manipal Academy of Higher Education
Manipal University
Manipur International University
Manipur Technical University
Manipur University
Manipur University of Culture
Manonmaniam Sundarnar University
Mansarovar Global University
Marathwada Agricultural University
Martin Luther Christian University
Marwadi University
Mata Gujri University
MATS University
Maulana Abul Kalam Azad University of Technology
Maulana Azad National Urdu University
Maulana Azad University
Maulana Mazharul Haque Arabic & Persian University
"Medhavi Skills University, Sikkim"
Medi-Caps University
Meenakshi Academy of Higher Education and Research
Mewar University
MGM Institute of Health Sciences
MGM University
MIT Art Design and Technology University
"MIT Vishwaprayag University, Solapur"
Mizoram University
Mody University of Science & Technology
Mohammad Ali Jauhar University
Mohan Babu University
Mohanlal Sukhadia University
Monad University
Monark University
Morarji Desai National Institute of Yoga
Mother Teresa Women's University
Motherhood University
Mumbai University
Munger University
Murshidabad University
Mysore University
Nagaland University
Nalanda Open University
Nalanda University
Nanaji Deshmukh Pashu Chikitsa Vigyan Vishwavidyalaya
Narsee Monjee Institute of Management Studies
National Academy of Legal Studies & Research University
National Brain Research Centre
National Dairy Research Institute
National Institute of Ayurveda
National Institute of Educational Planning and Administration (NIE
National Law Institute University
National law School of India University
National Law University
National Law University
National Law University
National Law University and Judicial Academy
National Law University Tripura
National Sanskrit University( previously Rashtriya Sanskrit Vidyape
National Sports University
National University of Advanced Legal Studies (NUALS)
National University of Study & Research in Law
Nava Nalanda Mahavihara
Navrachana University
Navsari Agriculture University
Nehru Gram Bharati
Netaji Shubhash Open University
Netaji Subhas University
Netaji Subhas University of Technology
NICMAR University
NIILM University
NIIT University
Nilamber-Pitamber University
NIMS University
Nirma University
Nirwan University
NITTE
Nizam's Institute of Medical Sciences
Noble University
Noida International University
Noorul Islam Centre for Higher Education
North East Adventist University
North East Christian University
North East Frontier Technical University
North Eastern Hill University
North Eastern Regional Institute of Science & Technology
Nrupathunga University
O.P. Jindal University
Odisha State Open University
Odisha University of Health Sciences
Odisha University of Technology and Research
Om Sterling Global University
OPJS University
Oriental University
Orissa University Of Agriculture & Technology
Osmania University
P. P. Savani University
P. V. Narsimha Rao Telangana Veterinary University
P.K. University
Pacific Academy of Higher Education  & Research (PAHER)
Pacific Medical University
Palamuru University
Pandit Deendayal petroleum University
Pandit Deendayal Upadhyaya Shekhawati University
Pandit Lakhmi Chand State University of Performing and Visual Art
Pandit S N Shukla University
Pandit Sundarlal Sharma (Open) University
Panjab University
Parul University
Patliputra University
Patna University
PDM University
People's University
Periyar Maniammai Institute of Science & Technology (PMIST)
Periyar University
PES University
Pimpri Chinchwad University
Plaksha University
Plastindia International University
Pondicherry University
Ponnaiyah Ramajayam Institute of Science & Technology (PRIST)
Poornima University
Potti Sreeramulu Telugu University
Pragjyotishpur University
Pragyan International University
Pratap University
Pravara Institute of Medical Sciences
Presidency  University
Presidency University
Prestige University
Prof. Rajendra Singh (Rajju Bhaiya) University (Formerly Allahabad
Professor Jayashankar Telangana State Agricultural University
Pt. Bhagwat Dayal Sharma University of Health Sciences
Pt. Ravishankar Shukla University
Puducherry Technological University
Punjab Agriculture University
Punjab Engineering College
Punjabi University
Punyashlok Ahilyadevi Holkar Solapur University
Purnea University
Quantum University
R.N.B. Global University
Rabindra Bharati University
Rabindranath Tagore University
Rabindranath Tagore University (formerly known as AISECT Univer
Radha Govind University
Raffles University
Rai Technology University
Rai University
Raichur University
Raiganj University
Raj Rishi Bhartrihari Matsya University
Raja Mahendra Pratap Singh State University
Raja Mansingh Tomar Music & Arts University
"Raja Shankar Shah University, Chhindwara"
Rajasthan Ayurveda University
Rajasthan Technical University
Rajasthan University
Rajasthan University of Health Sciences
Rajasthan University of Veterinary & Animal Sciences
Rajendra University
Rajiv Gandhi National Aviation University
Rajiv Gandhi Prodoyogiki Vishwavidyalaya
Rajiv Gandhi University
Rajiv Gandhi University of Health Science
Rajiv Gandhi University of Knowledge Technologies
Rajiv Gandhi University of Knowledge Technology
Rajju Shroff Rofel University (RSRU)
Rajmata Vijayaraje Scindia Krishi Vishwa Vidyalaya
Ram Krishna Dharmarth Foundation (RKDF) University
Rama Devi Women's University
Rama University
Ramakrishna Mission Vivekananda Educational  and Research Insti
Ramchandra Chandravansi University
Ranchi University
Rani Channamma University
Rani Durgavati Vishwavidyalaya
Rani Lakshmi Bai Central Agricultural University
Rani Rashmoni Green University(formerly West Bengal Green Uni
Ras Bihari Bose Subharti university
Rashtrasant Tukadoji Maharaj Nagpur University
Ravenshaw University
Rayalaseema University
Rayat Bahra University
Renaissance University
Reva University
RIMT University
Rishihood University
RK University
RKDF University
RV University
S.R. University
S.R.M Institute of Science and Technology
Sabarmati University
Sadhu Ram Chand Murmu University of Jhargram( formerly Jhargr
Sage University
Sai Nath University
Sai Tirupati University
Sai University
SAM Global University
"Sam Higginbottom Institute of Agriculture, Technology & Sciences"
Sambalpur University
Sampurnanand Sanskrit Vishwavidyalaya
Sanchi University of Buddhist-Indic Studies
Sandip University
Sandip University
Sangai International University
Sangam University
Sanjay Ghodawat University
Sanjeev Agrawal Global Educational University
Sankalchand Patel University
Sanskaram University
Sanskriti University
Sant Baba Bhag Singh University
Sant Gadge Baba Amravati University
Sant Gahira Guru Vishwavidyalaya (formerly Sarguja University)
Sant Longowal Institute of Engineering and Technology
Santosh
Sapthagiri NPS University
Sardar Beant Singh State University
Sardar Bhagwan Singh University
Sardar Krushinagar Dantiwada Agricultural University
Sardar Patel University
Sardar Patel University
Sardar Patel University Mandi
"Sardar Patel University of Police, Security & Criminal Justice"
Sardar Vallabh Bhai Patel University of Agriculture & Technology
Sardar Vallabhbhai Global University
Sarla Birla University
Sarvajanik University
Sarvepalli Radhakrishnan University
Satavahana University
Sathyabama Institute of Science and Technology
Saurashtra University
Saveetha Amaravati University
Saveetha Institute of Medical and Technical Sciences
Savitribai Phule Pune University
Scope Global Skills University
SDGI Global University
Seacom Skills University
Shaheed Bhagat Singh University
Shaheed Mahendra Karma Vishvidyalaya
Shaheed Nandkumar Patel Vishwavidyalaya
Shanmugha Arts Science Technology & Research Academy (SASTR
Sharda University
Sharnbasva University
Sher-e-Kashmir University of Agricultural Science & Technology
"Sher-e-Kashmir University of Agricultural Science & Technology, Ja"
Shiv Nadar University
Shivaji University
Shobhit Institute of Engineering & Technology
Shobhit University
Shoolini University of Biotechnology and Management Sciences
Shree Guru Gobind Singh Tricentenary University
Shree Sankaracharaya University of Sanskrit
Shree Somnath Sanskrit University
Shreyarth University
Shri Dharmasthala Manjunatheshwara University
Shri Govind Guru University
Shri Guru Ram Rai University
Shri Jagannath Sanskrit Vishwavidyalaya
Shri Jagdish Prasad Jhabarmal Tibrewala University
Shri Kallaji Vedic Vishvavidyalaya
Shri Khushal Das University
Shri Krishna AYUSH University
Shri Krishna University
Shri Lal Bahadur Shastri National Sanskrit University
Shri Mata Vaishno Devi University
"Shri Ramasamy Memorial University, Sikkim"
Shri Ramswaroop Memorial University
Shri Rawatpura Sarkar University
Shri Shankaracharya Professional University
Shri Vaishnav Vidyapeeth Vishwavidyalaya
Shri Venkateshwara University
Shri Vishwakarma Skill University
Shridhar University
Shubham University
Shyam University
Siddharth University
Sidho-Kanho-Birsha University
Sido Kanhu Murmu University
Sigma University
Sikkim Alpine University (Formerly EIILM University)
Sikkim Global Technical University
Sikkim International University
Sikkim Manipal University
Sikkim National Law University
Sikkim Professional University (Formerly Vinayaka Missions Sikkim
Sikkim Skill University
Sikkim University
Siksha 'O' Anusandhan
Silver Oak University
Sindhu Central University
Singhania University
"Sir J.J.School of  Art, Architecture & Design, Mumbai"
Sir Padmapat Singhania University
Sister Nivedita University
SKIPS University
Smt. Nathibai Damodar Thackersey Women's University
Soban Singh Jeena University
Somaiya Vidyavihar University
Sona Devi University
South Asian University
Spicer Adventist University
Sree Narayanguru Open University
Sri Aurobindo University
"Sri Balaji University, Pune"
Sri Balaji Vidyapeeth
Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya
Sri Dev Suman Uttarakhand Vishwavidyalaya
Sri Devraj Urs Academy of Higher Education and Research
Sri Guru Granth Sahib World University
Sri Guru Ram Das University of Health Sciences
Sri Guru Teg Bahadur State University of Law
Sri Jagadhguru Murugarajendra University
Sri Konda Laxman Telangana State Horticultural University
Sri krishnadevaraya University
Sri Padmavati Mahila Vishwavidyalayam
Sri Ramachandra Institute of Higher Education and Research
Sri Sai University
Sri Sathya Sai Institute of Higher Learning
Sri Sathya Sai University for Human Excellence
Sri Satya Sai University of Technology & Medical Sciences
Sri Siddhartha Academy of Higher Education
Sri Sri Aniruddhdeva Sports University
Sri Sri University
Sri Venkateswara Institute of Medical Sciences
Sri Venkateswara University
Sri Venkateswara Vedic University
Sri Venkateswara Veterinary University
Srimanta Sankaradeva University of Health Sciences
Srinath University
Srinivas University
SRM University
SRM University
St. Aloysius
St. Joseph University
St. Joseph's University
St. Peter’s Institute of Higher Education and Research
"St. Xavier's University, Kolkata"
Starex University
Sumandeep Vidyapeeth
Sunrise University
Surajmal University
Surendranagar University
Suresh Gyan Vihar University
Sushant University (Formerly Ansal University)
Swami Keshwanand Rajasthan Agricultural University
Swami Rama Himalayan University
Swami Ramanand Teerth Marathwada University
Swami Vivekanand University
Swami Vivekananda Subharti University
Swami Vivekananda University
Swami Vivekananda Yoga Anusandhana Samsthana
Swaminarayan University
Swarnim Gujarat Sports University
Swarnim Startup & Innovation University
Symbiosis International University
Symbiosis Skills and Professional University (Formerly Symbiosis S
Symbiosis University of Applied Sciences (SUAS)
T. S. Mishra University
T.M. Bhagalpur University
Tamil Nadu Fisheries University
Tamil Nadu Open University
Tamil Nadu Physical Education and Sports University
Tamil Nadu Teacher Education University
Tamil University
Tamilnadu Agricultural University
Tamilnadu Dr. Ambedkar Law University
Tamilnadu Dr. M.G.R.Medical University
Tamilnadu National Law University
Tamilnadu Veterinary & Animal Sciences University
Tantia University
Tata Institute of Fundamental Research
Tata Institute of Social Sciences
Team Lease Skills University
Techno Global University
Techno India University
Techno India University
Teerthanker Mahaveer University
Telangana University
TERI School of Advanced studies
Tezpur University
Thapar Institute of Engineering & Technology
The Apollo University
The Aryavart International University
The Assam Kaziranga University
The Assam Royal Global University
The Bengal Engineering & Science University
The Charutar Vidya Mandal(CVM) University
The Dhamma Dipa International Buddhist University
The Gandhiigram Rural Institute
The Global Open University
The Global University
The Glocal University
The ICFAI University
The ICFAI University
The ICFAI University Sikkim
The Indira Gandhi National Tribal University
The Institute of Chartered Financial Analysts of India University
The Institute of Chartered Financial Analysts of India University
The Institute of Chartered Financial Analysts of India University
The LNM Institute of Information Technology
